,Reference,Value,Footprint,Note,Datasheet,Category,Description,Family,MPN,Manufacturer,Mouser_PN,Sim.Enable,Status,Qty
y,R2,6.04k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf,,~,,,Yageo,603-RT1206FRE076K04L,,OKK,1
,R4,316->1500,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Used 1.5k THD,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf,,~,,,Yageo,603-RT1206FRE07316RL,,OKK,1
y,R5,4.99k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf,,~,,,Yageo,603-RT1206FRE074K99L,,OKK,1
wrong size,"R6, R10, R16, R19",2k->0R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Use jumper on 3.3V circuit,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf,,~,,,Yageo,603-RT1206FRE072KL,,OKK,1
y,"R7, R11, R17, R18",1k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf,,~,,,Yageo,603-RT1206FRE071KL,,OKK,4
x,R8,590R->860,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Used 680R but need 860R dyslexia??,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf,,~,,,Yageo,603-RT1206FRE07590RL,,OKK,1
y,R9,3.3k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf,,~,,,Yageo,603-RT1206FRE073K3L,,OKK,1
,R13,499,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf,,~,,,Yageo,603-RT1206FRE07499RL,,OKK,1
y,"R14, R21",287R->4.02k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf,,~,,,Yageo,603-RT1206FRE07287RL,,OKK,2
y,R15,13.3k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf,,~,,,Yageo,603-RT1206FRE0713K3L,,OKK,1
y,R20,9.1k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf,,~,,,Yageo,603-RT1206FRE079K1L,,OKK,1
,TPG1-TPG4,5001,TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,,https://www.mouser.com/datasheet/2/215/5005_5009-743680.pdf,Test and Measurement,PC TEST POINT BLACK,Test Points,5001,Keystone Electronics,534-5006,,OKK,4
